,CLU0000031903,CLU0000032186,CLU0000048328,CLU0000050082,CLU0000061707,CLU0000063932,CLU0000089733,CLU0120359,CLU0120637,CLU0120663,CLU0121775,CLU0121776,CLU0121777,CLU0121985,CLU0121986,CLU0121987,CLU0121988,CLU0121990,CLU0125648,CLU0125649,CLU0131786,CLU0131788,CLU0131789,CLU0135657,CLU0144611,CLU0144618,CLU0144619,CLU0144620,CLU0144624,CLU0149543
S225C1549,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
S333C1549,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
S129C3685,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1
S181C863,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1
S128C7560,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S224C1428,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
