,CLU0000010154,CLU0000033157,CLU0000041557,CLU0000041688,CLU0000069596,CLU0119024,CLU0119258,CLU0119259,CLU0119261,CLU0119262,CLU0119263,CLU0119264,CLU0119271,CLU0119838,CLU0119840,CLU0119841,CLU0119842,CLU0119843,CLU0120299,CLU0120720,CLU0121034,CLU0121035,CLU0121811,CLU0123999,CLU0124741,CLU0124743,CLU0124962,CLU0124969,CLU0124970,CLU0124971,CLU0125136,CLU0125342,CLU0125770,CLU0125772,CLU0126185,CLU0126747,CLU0126748,CLU0126798,CLU0130373,CLU0130433,CLU0132194,CLU0136117,CLU0136409,CLU0140725,CLU0141334,CLU0144219,CLU0145389,CLU0146004,CLU0148308,CLU0150491
S113C1129,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
S129C1417,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1
S104C1977,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
S177C1977,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
S20C222,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
