,CLU0000000998,CLU0000000999,CLU0000001000,CLU0000001004,CLU0000001476,CLU0000001477,CLU0000001478,CLU0000001758,CLU0000001902,CLU0000005707,CLU0000005708,CLU0000006146,CLU0000006147,CLU0000015493,CLU0000015854,CLU0000015857,CLU0000015858,CLU0000015860,CLU0000016473,CLU0000019578,CLU0000019579,CLU0000022932,CLU0000027967,CLU0000027968,CLU0000028227,CLU0000028275,CLU0000031473,CLU0000031474,CLU0000034965,CLU0000040858,CLU0000043049,CLU0000047016,CLU0000051103,CLU0000052373,CLU0000055852,CLU0000058488,CLU0000058489,CLU0000059332,CLU0000062889,CLU0000063114,CLU0000063318,CLU0000070012,CLU0000070013,CLU0000071449,CLU0000071672,CLU0000074720,CLU0000075032,CLU0000075040,CLU0000078869,CLU0000082406,CLU0000082618,CLU0000084197,CLU0000086110,CLU0000087861,CLU0000089020,CLU0000091610,CLU0000092229,CLU0000092230,CLU0000092454,CLU0000093807,CLU0000096001,CLU0000096002,CLU0000096337,CLU0000096581,CLU0000100990,CLU0000102062,CLU0000104999,CLU0000105911,CLU0000105912,CLU0000109431,CLU0000116297,CLU0000116298,CLU0000116299,CLU0000116554,CLU0000116571,CLU0000118202,CLU0000118203,CLU0000118447,CLU0132870,CLU0132872,CLU0132874,CLU0147958
NC_009541.1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
NC_015453.1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
NC_015454.1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
NC_018834.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
NC_018838.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
NC_018839.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
NC_018840.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
NC_018841.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
NC_018842.1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
NC_018845.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
