,CLU0000014477,CLU0000062047,CLU0000100302,CLU0130109,CLU0143031,CLU0143032,CLU0143033,CLU0143034,CLU0144640,CLU0148776,CLU0148927,CLU0148931
S336C3609,1,1,1,1,1,1,1,1,1,1,1,1
S387C3609,1,1,1,1,1,1,1,1,1,0,1,1
S386C8058,0,0,1,1,1,1,1,1,0,1,0,0
S50C3268,0,1,1,0,0,1,1,0,0,0,0,0
S397C4362,0,0,0,0,0,1,1,1,0,0,0,0
