,CLU0000005513,CLU0000008701,CLU0000008802,CLU0000016073,CLU0000016837,CLU0000021803,CLU0000023856,CLU0000026647,CLU0000037167,CLU0000038273,CLU0000041908,CLU0000045459,CLU0000045838,CLU0000048975,CLU0000051909,CLU0000054483,CLU0000055968,CLU0000058174,CLU0000062473,CLU0000064981,CLU0000064983,CLU0000066358,CLU0000068556,CLU0000075371,CLU0000077307,CLU0000080843,CLU0000082412,CLU0000083494,CLU0000085254,CLU0000094774,CLU0000096563,CLU0000099419,CLU0000104315,CLU0000104316,CLU0000106113,CLU0000108161,CLU0000112062,CLU0000112861,CLU0000115249,CLU0000115494,CLU0141942
MT701587.1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
OK665842.1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
S172C10573,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0
S160C16906_1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
S311C31423,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
