,CLU0000002845,CLU0000002846,CLU0000007396,CLU0000008075,CLU0000010033,CLU0000013765,CLU0000016952,CLU0000017936,CLU0000020785,CLU0000021246,CLU0000025946,CLU0000028876,CLU0000028877,CLU0000035882,CLU0000036046,CLU0000041289,CLU0000047894,CLU0000050811,CLU0000057262,CLU0000061176,CLU0000065806,CLU0000068398,CLU0000069372,CLU0000072414,CLU0000072611,CLU0000093663,CLU0000099534,CLU0000103626
NC_052932.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
NC_052933.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
NC_052934.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NC_052935.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NC_052936.1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
NC_052937.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
NC_052938.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NC_052939.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NC_052940.1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0
NC_054431.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
NC_052941.1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0
S330C3069,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
