,CLU0000000260,CLU0000000786,CLU0000004781,CLU0000004932,CLU0000007833,CLU0000011650,CLU0000011718,CLU0000012308,CLU0000012760,CLU0000018453,CLU0000021898,CLU0000022157,CLU0000022333,CLU0000023448,CLU0000023639,CLU0000024569,CLU0000024968,CLU0000028133,CLU0000028143,CLU0000031731,CLU0000034893,CLU0000035235,CLU0000036730,CLU0000036884,CLU0000036898,CLU0000042562,CLU0000044334,CLU0000045034,CLU0000050424,CLU0000051396,CLU0000052533,CLU0000055860,CLU0000058574,CLU0000058599,CLU0000064049,CLU0000065985,CLU0000067681,CLU0000071459,CLU0000072697,CLU0000074088,CLU0000077634,CLU0000077777,CLU0000077895,CLU0000077902,CLU0000078940,CLU0000081052,CLU0000081548,CLU0000081902,CLU0000086021,CLU0000087939,CLU0000090676,CLU0000092584,CLU0000100163,CLU0000102368,CLU0000104997,CLU0000112103,CLU0000115091,CLU0119137,CLU0119138,CLU0119139,CLU0119140,CLU0119141,CLU0119142,CLU0119143,CLU0119144,CLU0119145,CLU0119146,CLU0119147,CLU0119148,CLU0119149,CLU0119150,CLU0119151,CLU0119152,CLU0119153,CLU0119154,CLU0119155,CLU0119156,CLU0119157,CLU0119158,CLU0119159,CLU0119160,CLU0119161,CLU0119162,CLU0119163,CLU0119165,CLU0119166,CLU0119167,CLU0119168,CLU0119169,CLU0119170,CLU0119410,CLU0119640,CLU0119641,CLU0119642,CLU0119643,CLU0119644,CLU0119645,CLU0119646,CLU0119647,CLU0119648,CLU0119649,CLU0119650,CLU0119914,CLU0119917,CLU0119918,CLU0119919,CLU0119920,CLU0119921,CLU0119922,CLU0119923,CLU0119931,CLU0120835,CLU0120836,CLU0120837,CLU0120838,CLU0120842,CLU0124947,CLU0124951,CLU0124953,CLU0124954,CLU0126857,CLU0126858,CLU0135720,CLU0135729,CLU0138328,CLU0146575,CLU0146576,CLU0146587,CLU0146597,CLU0151772
S105C30271,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
S320C88072,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
S356C3791,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0
S104C1495,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
S106C1495,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
S107C1495,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
S111C1495,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1
S177C1495,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0
S253C61084,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
