,CLU0000041557,CLU0000070832,CLU0000078922,CLU0000079080,CLU0000086327,CLU0000106455,CLU0000107348,CLU0121372,CLU0123952,CLU0123963,CLU0124031,CLU0125416,CLU0127192,CLU0131517,CLU0131868,CLU0135664,CLU0137956,CLU0141093,CLU0141112,CLU0143661,CLU0143662,CLU0145023,CLU0145024,CLU0145025,CLU0145026,CLU0145421,CLU0146821,CLU0147085,CLU0147087,CLU0147088,CLU0147089,CLU0147090,CLU0147091,CLU0147439,CLU0147849,CLU0148803,CLU0148804,CLU0148805,CLU0148806,CLU0148807,CLU0148808,CLU0148809,CLU0148810,CLU0148812,CLU0148813,CLU0148814,CLU0148815,CLU0149290,CLU0150936
S344C23007,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
S387C10373,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S363C1925,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
S326C1925,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S346C1925,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
