,CLU0000003332,CLU0000038380,CLU0000038970,CLU0000045796,CLU0000047196,CLU0000050677,CLU0000060429,CLU0119014,CLU0119024,CLU0119901,CLU0119902,CLU0120416,CLU0120550,CLU0120552,CLU0120720,CLU0120930,CLU0121565,CLU0122277,CLU0122278,CLU0122279,CLU0122280,CLU0122281,CLU0122284,CLU0122287,CLU0122795,CLU0123519,CLU0123520,CLU0123521,CLU0123522,CLU0123525,CLU0123526,CLU0123527,CLU0124994,CLU0125697,CLU0126180,CLU0126182,CLU0126183,CLU0126188,CLU0126189,CLU0126193,CLU0126766,CLU0127245,CLU0127866,CLU0129509,CLU0132194,CLU0132301,CLU0132302,CLU0136164,CLU0138147,CLU0138264,CLU0140642,CLU0144641,CLU0145361,CLU0150026,CLU0150577,CLU0152026,CLU0152570,CLU0152572,CLU0152573,CLU0153051,CLU0153079,CLU0153305,CLU0153812
S156C8145,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1
S185C8145,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
S130C8145,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0
S131C1480,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
S178C511,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
