,CLU0000008472,CLU0000021077,CLU0000064795,CLU0000072512,CLU0000087966,CLU0000097276,CLU0118964,CLU0120458,CLU0120531,CLU0121960,CLU0125180,CLU0126355,CLU0126715,CLU0126779,CLU0131525,CLU0131757,CLU0131758,CLU0131759,CLU0131760,CLU0131761,CLU0131762,CLU0131767,CLU0131776,CLU0131783,CLU0131784,CLU0132485,CLU0135967,CLU0136450,CLU0137949,CLU0137950,CLU0137951,CLU0138462,CLU0138656,CLU0140169,CLU0142865,CLU0142869,CLU0144950,CLU0144951
S268C4687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
S341C9242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S232C3254,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
S222C898,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
S236C898,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
