,CLU0000096790,CLU0122875,CLU0124508,CLU0128105,CLU0128122,CLU0128132,CLU0129731,CLU0129732,CLU0130597,CLU0130599,CLU0130600,CLU0130601,CLU0131003,CLU0131004,CLU0131024,CLU0131048,CLU0133065,CLU0139838,CLU0139840,CLU0140261,CLU0140556,CLU0152382,CLU0152383,CLU0152387
S205C144,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
S212C144,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1
S202C144,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
S56C144,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
S296C144,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
S219C144,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0
S201C144,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
S301C144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S201C160629,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
