,CLU0000003682,CLU0000010154,CLU0000017752,CLU0000021349,CLU0000040122,CLU0000043133,CLU0000046500,CLU0000063934,CLU0000064524,CLU0000064609,CLU0000064861,CLU0000067203,CLU0000068176,CLU0000085057,CLU0000099508,CLU0000110299,CLU0000113283,CLU0000116480,CLU0000116704,CLU0119027,CLU0119060,CLU0119061,CLU0119066,CLU0119067,CLU0119068,CLU0119069,CLU0119070,CLU0119071,CLU0119072,CLU0119073,CLU0119078,CLU0119079,CLU0119081,CLU0119526,CLU0120270,CLU0120469,CLU0120794,CLU0120795,CLU0120808,CLU0120811,CLU0121018,CLU0121372,CLU0121376,CLU0121786,CLU0121791,CLU0121792,CLU0121793,CLU0122176,CLU0122180,CLU0122339,CLU0122347,CLU0122351,CLU0122352,CLU0122355,CLU0122356,CLU0122357,CLU0122362,CLU0122383,CLU0122795,CLU0123898,CLU0123942,CLU0123943,CLU0123957,CLU0123958,CLU0123962,CLU0124041,CLU0124053,CLU0124077,CLU0124543,CLU0124694,CLU0124848,CLU0124862,CLU0124863,CLU0124864,CLU0124866,CLU0124867,CLU0124868,CLU0124869,CLU0124871,CLU0124872,CLU0125722,CLU0126199,CLU0126480,CLU0126713,CLU0126798,CLU0127264,CLU0130923,CLU0131186,CLU0131686,CLU0131764,CLU0131868,CLU0132194,CLU0132651,CLU0132877,CLU0132920,CLU0136503,CLU0140767,CLU0142041,CLU0142096,CLU0142104,CLU0142803,CLU0143619,CLU0144753,CLU0144950,CLU0146821,CLU0146915,CLU0147329,CLU0147545,CLU0148918,CLU0149537,CLU0150293
S129C10387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0
S130C10387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0
S104C10387,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
S111C10387,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0
S131C10387,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1
S177C10387,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
S167C10387,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1
