,CLU0000000275,CLU0000012144,CLU0000013854,CLU0000037477,CLU0000041557,CLU0000055956,CLU0000072536,CLU0000078922,CLU0000079485,CLU0000098091,CLU0000105025,CLU0119977,CLU0120281,CLU0120511,CLU0120779,CLU0120793,CLU0121441,CLU0123529,CLU0123876,CLU0123877,CLU0123878,CLU0123879,CLU0123880,CLU0123882,CLU0123883,CLU0123884,CLU0123885,CLU0123886,CLU0123887,CLU0123888,CLU0123889,CLU0124065,CLU0124397,CLU0124729,CLU0124737,CLU0125397,CLU0125745,CLU0125804,CLU0125805,CLU0126163,CLU0126165,CLU0126173,CLU0126178,CLU0126200,CLU0126634,CLU0126770,CLU0126771,CLU0126808,CLU0126959,CLU0126961,CLU0126973,CLU0126974,CLU0126975,CLU0126981,CLU0126982,CLU0126983,CLU0126984,CLU0126985,CLU0126986,CLU0127257,CLU0127263,CLU0127264,CLU0127265,CLU0127267,CLU0127268,CLU0127269,CLU0127474,CLU0127499,CLU0130443,CLU0131152,CLU0131868,CLU0132041,CLU0132186,CLU0132288,CLU0132289,CLU0132290,CLU0132305,CLU0132306,CLU0132313,CLU0138261,CLU0138290,CLU0138610,CLU0138640,CLU0140616,CLU0141005,CLU0141037,CLU0141201,CLU0141334,CLU0142172,CLU0143619,CLU0146821,CLU0150138,CLU0150405,CLU0150491,CLU0153430
S193C5802,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0
S22C5802,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S185C637,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
S21C10096,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S164C10096,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
S194C5802,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0
