,CLU0000001150,CLU0000003631,CLU0000005857,CLU0000005859,CLU0000005860,CLU0000005862,CLU0000011768,CLU0000013780,CLU0000015174,CLU0000015618,CLU0000017535,CLU0000019354,CLU0000019356,CLU0000021266,CLU0000024179,CLU0000025974,CLU0000027740,CLU0000027744,CLU0000029507,CLU0000030091,CLU0000031237,CLU0000031238,CLU0000031244,CLU0000033012,CLU0000034757,CLU0000036418,CLU0000037550,CLU0000038417,CLU0000038418,CLU0000039636,CLU0000039637,CLU0000041327,CLU0000041328,CLU0000043157,CLU0000043162,CLU0000044785,CLU0000044786,CLU0000046437,CLU0000046608,CLU0000046609,CLU0000047260,CLU0000048235,CLU0000048236,CLU0000048333,CLU0000050035,CLU0000050039,CLU0000052176,CLU0000052182,CLU0000053822,CLU0000053823,CLU0000055288,CLU0000057310,CLU0000060823,CLU0000060824,CLU0000060925,CLU0000064361,CLU0000064362,CLU0000064467,CLU0000065720,CLU0000065721,CLU0000065722,CLU0000069933,CLU0000069934,CLU0000070139,CLU0000071249,CLU0000071253,CLU0000072965,CLU0000073062,CLU0000074688,CLU0000076525,CLU0000076526,CLU0000076635,CLU0000078419,CLU0000078421,CLU0000080165,CLU0000080166,CLU0000082195,CLU0000084170,CLU0000084836,CLU0000084838,CLU0000086607,CLU0000086608,CLU0000088592,CLU0000088594,CLU0000090396,CLU0000090397,CLU0000092359,CLU0000092362,CLU0000094148,CLU0000094149,CLU0000094150,CLU0000096116,CLU0000097914,CLU0000097915,CLU0000097916,CLU0000101843,CLU0000101847,CLU0000101848,CLU0000103685,CLU0000103686,CLU0000105696,CLU0000105699,CLU0000107486,CLU0000109555,CLU0000111407,CLU0000111408,CLU0000111409,CLU0000111524,CLU0000113197,CLU0000113535,CLU0000116062,CLU0000117949
NC_048829.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
NC_048830.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
NC_021790.1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
NC_021791.1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
NC_021795.1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
NC_062754.1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
S41C8612_1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
