,CLU0000000574,CLU0000005683,CLU0000021349,CLU0000072555,CLU0000077122,CLU0119702,CLU0120148,CLU0120416,CLU0120554,CLU0120672,CLU0120763,CLU0123182,CLU0129022,CLU0129332,CLU0129635,CLU0130108,CLU0130109,CLU0130110,CLU0130111,CLU0130112,CLU0130113,CLU0130114,CLU0130115,CLU0130116,CLU0130117,CLU0130118,CLU0130119,CLU0130120,CLU0130121,CLU0130122,CLU0130123,CLU0130124,CLU0130125,CLU0130126,CLU0130127,CLU0130128,CLU0130129,CLU0130130,CLU0133706,CLU0133716,CLU0143032,CLU0143033,CLU0144359,CLU0144372,CLU0144379,CLU0146839,CLU0150264,CLU0150265,CLU0151430,CLU0153755,CLU0153756,CLU0153757,CLU0153758,CLU0153759,CLU0153760,CLU0153761,CLU0153762,CLU0153763,CLU0153764,CLU0153765,CLU0153766,CLU0153767,CLU0153768,CLU0153774,CLU0153775
S240C5580,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S206C5867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S89C4559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S44C13468,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S55C5867,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
