,CLU0000002307,CLU0000004587,CLU0000004604,CLU0000004605,CLU0000009147,CLU0000009148,CLU0000011590,CLU0000019054,CLU0000020786,CLU0000022003,CLU0000025578,CLU0000034468,CLU0000036499,CLU0000040994,CLU0000043924,CLU0000046313,CLU0000047648,CLU0000049876,CLU0000051888,CLU0000052945,CLU0000056436,CLU0000056965,CLU0000059918,CLU0000063484,CLU0000064004,CLU0000067021,CLU0000069005,CLU0000069006,CLU0000069554,CLU0000072061,CLU0000072612,CLU0000072613,CLU0000076150,CLU0000076229,CLU0000079262,CLU0000086231,CLU0000088427,CLU0000090018,CLU0000092178,CLU0000093197,CLU0000093757,CLU0000096949,CLU0000097598,CLU0000100932,CLU0000101679,CLU0000102671,CLU0000103268,CLU0000106507,CLU0000106508,CLU0000108396,CLU0000110420,CLU0000110421,CLU0000111009,CLU0000114334,CLU0000116030
NC_016654.1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S254C11101,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NC_047794.1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
NC_047795.1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
NC_048072.1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
